id,update_date,日本語,英語,ドイツ語,フランス語,スペイン語,イタリア語,中国語,韓国語,ロシア語,ヒンディー語,ポルトガル語,アラビア語
1,20230903,こんにちは,hello,Hallo,Bonjour,,,,,,,,
2,20230903,コンピュータ,computer,Computer,ordinateur,,,,,,,,
3,20230903,船,boat,Boot,bateau,,,,,,,,
4,20230903,仕事,work,Arbeit,travail,,,,,,,,
5,20230903,書籍,book,Buch,livre,libro,libro,书,,,,,
6,20230903,電話,phone,Telefon,téléphone,teléfono,telefono,电话,,,,,
7,20230903,お金,money,Geld,argent,dinero,denaro,钱,,,,,
8,20230903,楽しい,fun,Spaß,amusement,,,,,,,,
9,20230903,怒り,angry,wütend,en colère,,,,,,,,
10,20230903,悲しい,sad,traurig,triste,,,,,,,,
11,20230903,幸せ,happy,glücklich,heureux,,,,,,,,
12,20230903,愛,love,Liebe,amour,,,,,,,,
13,20230903,音楽,music,Musik,musique,,,,,,,,
14,20230903,学校,school,Schule,école,,,,,,,,
15,20230903,友達,friend,Freund,ami,,,,,,,,
16,20230903,食べ物,food,Essen,nourriture,,,,,,,,
17,20230903,水,water,Wasser,eau,,,,,,,,
18,20230903,いいえ,no,nein,Non,,,,,,,,
19,20230903,はい,yes,ja,Oui,,,,,,,,
20,20230903,さようなら,goodbye,Auf Wiedersehen,Au revoir,,,,,,,,
21,20230903,こんばんは,good evening,Guten Abend,Bonsoir,,,,,,,,
22,20230903,おはよう,good morning,Guten Morgen,Bonjour,,,,,,,,
23,20230903,ありがとう,thank you,Danke,Merci,,,,,,,,
24,20230903,自転車,bicycle,Fahrrad,vélo,,,,,,,,
25,20230903,タクシー,taxi,Taxi,taxi,,,,,,,,
26,20230903,家族,family,Familie,famille,,,,,,,,
27,20230903,車,car,Auto,voiture,,,,,,,,
28,20230903,バス,bus,Bus,bus,,,,,,,,
29,20230903,電車,train,Zug,train,,,,,,,,
30,20230903,映画,movie,Film,film,,,,,,,,
31,20230903,テレビ,television,Fernsehen,télévision,,,,,,,,
32,20230903,スポーツ,sports,Sport,sports,,,,,,,,
33,20230903,ゲーム,game,Spiel,jeu,,,,,,,,
34,20230903,花,flower,Blume,fleur,,,,,,,,
35,20230903,木,tree,Baum,arbre,,,,,,,,
36,20230903,川,river,Fluss,rivière,,,,,,,,
37,20230903,山,mountain,Berg,montagne,,,,,,,,
38,20230903,海,sea,Meer,mer,,,,,,,,
39,20230903,星,star,Stern,étoile,,,,,,,,
40,20230903,雲,cloud,Wolke,nuage,,,,,,,,
41,20230903,雨,rain,Regen,pluie,,,,,,,,
42,20230903,雪,snow,Schnee,neige,,,,,,,,
43,20230903,春,spring,Frühling,printemps,,,,,,,,
44,20230903,インターネット,internet,Internet,internet,,,,,,,,
45,20230903,夏,summer,Sommer,été,,,,,,,,
46,20230903,秋,autumn (fall),Herbst,automne,,,,,,,,
47,20230903,冬,winter,Winter,hiver,,,,,,,,
48,20230903,日,day,Tag,jour,,,,,,,,
49,20230903,月,month,Monat,mois,,,,,,,,
50,20230903,年,year,Jahr,année,,,,,,,,
51,20230903,時,hour,Stunde,heure,,,,,,,,
52,20230903,分,minute,Minute,minute,,,,,,,,
53,20230903,秒,second,Sekunde,seconde,,,,,,,,
54,20230903,飛行機,airplane,Flugzeug,avion,,,,,,,,
55,20230903,家具,furniture,Möbel,meubles,,,,,,,,
56,20230903,母,mother,Mutter,mère,,,,,,,,
57,20230903,赤,red,Rot,rouge,,,,,,,,
58,20230903,青,blue,Blau,bleu,,,,,,,,
59,20230903,飛行,flying,Fliegen,vol,,,,,,,,
60,20230903,食事,meal,Mahlzeit,repas,,,,,,,,
61,20230903,朝食,breakfast,Frühstück,petit déjeuner,,,,,,,,
62,20230903,昼食,lunch,Mittagessen,déjeuner,,,,,,,,
63,20230903,夕食,dinner,Abendessen,dîner,,,,,,,,
64,20230903,デザート,dessert,Nachtisch,dessert,,,,,,,,
65,20230903,お菓子,snack,Snack,collation,,,,,,,,
66,20230903,飲み物,drink,Getränk,boisson,,,,,,,,
67,20230903,コーヒー,coffee,Kaffee,café,,,,,,,,
68,20230903,紅茶,tea,Tee,thé,,,,,,,,
69,20230903,家,house,Haus,maison,,,,,,,,
70,20230903,ホテル,hotel,Hotel,hôtel,,,,,,,,
71,20230903,上,up,Oben,haut,,,,,,,,
72,20230903,レストラン,restaurant,Restaurant,restaurant,,,,,,,,
73,20230903,病院,hospital,Krankenhaus,hôpital,,,,,,,,
74,20230903,警察署,police station,Polizeiwache,poste de police,,,,,,,,
75,20230903,郵便局,post office,Post,bureau de poste,,,,,,,,
76,20230903,銀行,bank,Bank,banque,,,,,,,,
77,20230903,図書館,library,Bibliothek,bibliothèque,,,,,,,,
78,20230903,東,east,Osten,est,,,,,,,,
79,20230903,西,west,Westen,ouest,,,,,,,,
80,20230903,南,south,Süden,sud,,,,,,,,
81,20230903,北,north,Norden,nord,,,,,,,,
82,20230903,右,right,Rechts,droite,,,,,,,,
83,20230903,左,left,Links,gauche,,,,,,,,
84,20230903,走行,running,Laufen,course,,,,,,,,
85,20230903,風,wind,Wind,vent,,,,,,,,
86,20230903,アパート,apartment,Wohnung,appartement,,,,,,,,
87,20230903,下,down,Unten,bas,,,,,,,,
88,20230903,黄,yellow,Gelb,jaune,,,,,,,,
89,20230903,緑,green,Grün,vert,,,,,,,,
90,20230903,白,white,Weiß,blanc,,,,,,,,
91,20230903,黒,black,Schwarz,noir,,,,,,,,
92,20230903,オレンジ,orange,Orange,orange,,,,,,,,
93,20230903,ピンク,pink,Rosa,rose,,,,,,,,
94,20230903,紫,purple,Lila,violet,,,,,,,,
95,20230903,茶色,brown,Braun,marron,,,,,,,,
96,20230903,父,father,Vater,père,,,,,,,,
97,20230903,兄,brother,Bruder,frère,,,,,,,,
98,20230903,中,center (centre),Mitte,centre,,,,,,,,
99,20230903,姉,sister,Schwester,sœur,,,,,,,,
100,20230903,弟,younger brother,jüngerer Bruder,petit frère,,,,,,,,
101,20230903,妹,younger sister,jüngere Schwester,petite sœur,,,,,,,,
102,20230903,子供,child,Kind,enfant,,,,,,,,
103,20230903,大人,adult,Erwachsener,adulte,,,,,,,,
104,20230903,男,man,Mann,homme,,,,,,,,
105,20230903,女,woman,Frau,femme,,,,,,,,
106,20230903,人,person,Person,personne,,,,,,,,
107,20230903,先生,teacher,Lehrer,enseignant,,,,,,,,
108,20230903,学生,student,Schüler,étudiant,,,,,,,,
109,20230903,社員,employee,Angestellter,employé,,,,,,,,
110,20230903,会社,company,Unternehmen,entreprise,,,,,,,,
111,20230903,部屋,room,Zimmer,chambre,,,,,,,,
112,20230903,外,outside,Außen,extérieur,,,,,,,,
113,20230903,歩行,walking,Gehen,marche,,,,,,,,
114,20230903,食器,tableware,Geschirr,vaisselle,,,,,,,,
